ChargeThreshold_fC,Probability,CrossSection_cm2
0.00016269082109311294,0.7725979838371551,1.5142920483208235e-08
0.00016829312008877605,0.772560139304155,1.5142178730361436e-08
0.00017408833564743842,0.7725192914481549,1.5141378112383833e-08
0.00018008311089905585,0.7724750397261548,1.5140510778632634e-08
0.00018628431773142076,0.7724289855021549,1.5139608115842234e-08
0.00019269906466749549,0.7723836322631548,1.513871919235783e-08
0.00019933470501400324,0.7723344746921548,1.513775570396623e-08
0.00020619884529061785,0.7722885210089785,1.5136855011775977e-08
0.00021329935394941534,0.7722344570466759,1.5135795358114844e-08
0.0002206443703945809,0.7721845983653396,1.5134818127960653e-08
0.00022824231431271266,0.7721343388947888,1.5133833042337858e-08
0.0002361018953244165,0.7720751694127886,1.5132673320490654e-08
0.0002442321229682558,0.7720181016581926,1.5131554792500572e-08
0.0002526423170285011,0.7719529248620144,1.513027732729548e-08
0.0002613421182185184,0.7718874475107447,1.512899397121059e-08
0.0002703414992320429,0.7718254747997447,1.5127779306074995e-08
0.0002796507761750053,0.7717588965547446,1.5126474372472993e-08
0.0002892806203910166,0.7716910165045409,1.5125143923488997e-08
0.00029924207069406634,0.7716192319405407,1.5123736946034597e-08
0.00030954654602245653,0.7715388376475407,1.5122161217891797e-08
0.0003202058585284772,0.7714607456110748,1.5120630613977064e-08
0.0003312322271188282,0.7713790495058469,1.5119029370314596e-08
0.0003426382914613089,0.7713004571985201,1.5117488961090992e-08
0.0003544371264738312,0.7712081485515201,1.511567971160979e-08
0.0003666422573123658,0.7711235490751593,1.511402156187312e-08
0.0003792676748750022,0.7710308401661593,1.511220446725672e-08
0.00039232785183989467,0.7709333253851591,1.5110293177549116e-08
0.00040583775925547873,0.7708330067093856,1.5108326931503956e-08
0.00041981288370197643,0.7707334899363855,1.5106376402753152e-08
0.0004342692450438615,0.7706234603013854,1.5104219821907152e-08
0.000449223414793636,0.7705103272813852,1.510200241471515e-08
0.0004646925351079675,0.7704001969463852,1.5099843860149146e-08
0.000480694338437963,0.7702885644233852,1.5097655862698348e-08
0.0004972471678561061,0.770173027206385,1.5095391333245144e-08
0.0005143699980831553,0.770044074109385,1.5092863852543943e-08
0.0005320824572391098,0.7699198264041104,1.509042859752056e-08
0.0005504048493431767,0.7697934764171102,1.5087952137775355e-08
0.0005693581775885277,0.769664022671934,1.5085414844369904e-08
0.000588964168418528,0.7695292625756882,1.5082773546483486e-08
0.000609245296432039,0.7693843903893175,1.507993405163062e-08
0.000630224810146339,0.7692400191093174,1.5077104374542617e-08
0.0006519267586471956,0.7690834332213172,1.5074035291137815e-08
0.0006743760191566425,0.7689323536873172,1.5071074132271415e-08
0.0006975983255500576,0.7622382988991937,1.4939870658424195e-08
0.0007216202978552352,0.7540938198595207,1.4780238869246603e-08
0.0007464694727672649,0.7462005401829295,1.4625530587585416e-08
0.0007721743352141987,0.7385816865388128,1.4476201056160729e-08
0.00079876435100969,0.7311576642472025,1.4330690219245168e-08
0.0008262700006300332,0.7240056651737367,1.4190511037405235e-08
0.0008547228141543246,0.716986022570739,1.4052926042386481e-08
0.0008841554074077976,0.7102014602591699,1.3919948621079727e-08
0.0009146015193497607,0.7035875008271636,1.3790315016212403e-08
0.0009460960507490004,0.697247766948889,1.3666056232198223e-08
0.0009786751041909788,0.6910227692628411,1.3544046277551683e-08
0.0010123760254626935,0.6849946056831283,1.3425894271389313e-08
0.0010472374463626288,0.6791338415356906,1.3311023294099532e-08
0.001083299328984884,0.6733956231651397,1.3198554214036735e-08
0.0011206030115282347,0.6678407228909409,1.308967816866244e-08
0.00115919125568264,0.6624643339806741,1.298430094602121e-08
0.0011991082956475162,0.6572727649031419,1.288254619210158e-08
0.0012403998888379673,0.6522106499951156,1.2783328739904263e-08
