ChargeThreshold_fC,Probability,CrossSection_cm2,CrossSection_Uncertainty_cm2
0.0001622729071987242,0.8157219011503047,1.3051550418404881e-11,1.4507118522789426e-14
0.00016682636356030867,0.8156745384603047,1.305079261536488e-11,1.4506697398784423e-14
0.00017150759211254888,0.8156422887727957,1.3050276620364735e-11,1.4506410637367583e-14
0.00017632017820499218,0.8156140704027957,1.3049825126444735e-11,1.4506159703326866e-14
0.00018126780779383054,0.8155798072727956,1.3049276916364733e-11,1.450585502803003e-14
0.00018635427026497176,0.8155455433527956,1.3048728693644735e-11,1.4505550332285656e-14
0.00019158346133632724,0.8155102703727957,1.3048164325964735e-11,1.4505236645141756e-14
0.00019695938604153963,0.8154810461227957,1.3047696737964737e-11,1.450497676217879e-14
0.00020248616179743524,0.8154417418653517,1.3047067869845632e-11,1.4504627226598943e-14
0.00020816802155755053,0.8153994148400536,1.3046390637440864e-11,1.4504250821446395e-14
0.00021400931705414802,0.8153480177900536,1.3045568284640862e-11,1.4503793704072166e-14
0.0002200145221312049,0.8153056898831557,1.3044891038130495e-11,1.450341724439677e-14
0.00022618823617092713,0.8152714274631556,1.3044342839410494e-11,1.450311252411243e-14
0.00023253518761641266,0.8152129736580995,1.3043407578529597e-11,1.4502592617449964e-14
0.00023906023759316268,0.8151615770080995,1.3042585232129597e-11,1.4502135454920984e-14
0.00024576838363221415,0.8151152199280995,1.3041843518849598e-11,1.4501723112030915e-14
0.000252664763497745,0.8150658391180995,1.3041053425889596e-11,1.450128385644949e-14
0.0002597546591220843,0.8150144438880995,1.3040231102209597e-11,1.4500826677918964e-14
0.00026704350065113997,0.8149559926705315,1.303929588272851e-11,1.4500306718120725e-14
0.00027453687060334406,0.8148925021605314,1.3038280034568508e-11,1.4499741887375528e-14
0.00028224050814529907,0.8148310307605314,1.3037296492168509e-11,1.449919502974017e-14
0.0002901603134874019,0.8147756025030133,1.3036409640048217e-11,1.4498701903536866e-14
0.0002983023524028109,0.8147111069130133,1.3035377710608218e-11,1.449812809167203e-14
0.0003066728608732161,0.8146486253230132,1.3034378005168216e-11,1.4497572163310085e-14
0.00031527824986497403,0.8146022655554832,1.3033636248887736e-11,1.449715966001561e-14
0.0003241251102392619,0.8145347454954832,1.3032555927927737e-11,1.449655886420476e-14
0.0003332202178000134,0.8144581537378931,1.3031330459806294e-11,1.4495877318825912e-14
0.00034257053848350187,0.8143835819878931,1.3030137311806295e-11,1.449521374022233e-14
0.00035218323369354607,0.814309010777893,1.3028944172446293e-11,1.449455014084762e-14
0.000362065665786424,0.8142435041278929,1.3027896066046292e-11,1.4493967137037956e-14
0.0003722254037096962,0.8141638941903399,1.3026622307045442e-11,1.4493258652692586e-14
0.0003826702287992574,0.8140792408427988,1.3025267853484785e-11,1.4492505202943947e-14
0.00039340814073905576,0.8139966076327988,1.3023945722124786e-11,1.4491769719433314e-14
0.0004044473636880451,0.8139300975727988,1.3022881561164785e-11,1.449117771061111e-14
0.0004157963525790624,0.8138404083927986,1.3021446534284782e-11,1.449037933296847e-14
0.0004274637995944545,0.8137567660927987,1.3020108257484784e-11,1.4489634746344e-14
0.0004394586408234142,0.8136700987152706,1.3018721579444335e-11,1.448886319065783e-14
0.000451790063106125,0.8135804039752705,1.3017286463604334e-11,1.4488064586486044e-14
0.000464467511069955,0.8134937317752705,1.3015899708404333e-11,1.4487292844100128e-14
0.00047750069436308966,0.8134302391152705,1.3014883825844333e-11,1.4486727467669463e-14
0.0004908995950911448,0.8133506213352704,1.301360994136433e-11,1.4486018472389945e-14
0.0005046744754624542,0.8132730204952704,1.301236832792433e-11,1.4485327416109558e-14
0.0005188358856478872,0.8131863487152703,1.301098157944433e-11,1.4484555535365807e-14
0.0005333946718612168,0.8130825435552702,1.3009320696884328e-11,1.44836310089666e-14
0.0005483619846662272,0.8129898243652701,1.3007837189844326e-11,1.4482805168175898e-14
0.0005637492875169223,0.81289912191527,1.3006385950644325e-11,1.448199725456619e-14
0.0005795683655373771,0.8127781851852699,1.3004450962964324e-11,1.4480919963987077e-14
0.000595831334547955,0.8126643025652699,1.3002628841044323e-11,1.4479905432597443e-14
0.0006125506503448069,0.8125433643352696,1.3000693829364319e-11,1.4478827959654745e-14
0.0006297391182397557,0.8124365341298146,1.299898454607704e-11,1.4477876134075392e-14
0.0006474099028678749,0.8123196276398145,1.2997114042237036e-11,1.447683444048418e-14
0.0006655765382702737,0.8122027205198145,1.2995243528317037e-11,1.4475792660706604e-14
0.0006842529382598093,0.8093737740916813,1.2949980385466906e-11,1.445056058279362e-14
0.0007034534070776657,0.8030295566635459,1.2848472906616739e-11,1.439381408181155e-14
0.0007231926503489617,0.7968959713954036,1.2750335542326461e-11,1.4338738069146393e-14
0.000743485786345779,0.7910062842453994,1.2656100547926396e-11,1.428565231822739e-14
0.000764348357566235,0.7849875927653952,1.2559801484246327e-11,1.4231199199827863e-14
0.0007857963426384714,0.7791402284191291,1.2466243654706071e-11,1.4178095863565085e-14
0.0008078461685586734,0.7736325051191254,1.2378120081906011e-11,1.4127894481392528e-14
0.0008305147232724947,0.7682094330711376,1.2291350929138208e-11,1.4078289735514454e-14
0.0008538193686095227,0.7629415647911338,1.2207065036658147e-11,1.4029936689655597e-14
0.0008777779535806906,0.7577381964211307,1.2123811142738096e-11,1.3982011518664184e-14
0.0009024088280488226,0.752566070273001,1.2041057124368021e-11,1.3934210767086208e-14
0.00092773085678278,0.7476721023930063,1.1962753638288105e-11,1.3888829257713992e-14
0.0009537634339059746,0.7428013139648806,1.1884821023438094e-11,1.3843514992055018e-14
0.0009805264977503123,0.7381169725648855,1.1809871561038172e-11,1.3799794918668741e-14
0.0010080405461269492,0.7334154980273645,1.1734647968437837e-11,1.3755775235326767e-14
0.0010363266520255496,0.7290586987073692,1.166493917931791e-11,1.3714856595015185e-14
0.0010654064797540714,0.7246454627373737,1.1594327403797984e-11,1.3673283076215497e-14
0.001095302301531446,0.7202725378997944,1.1524360606396715e-11,1.3631964244425539e-14
0.001126037014545854,0.7162100236820068,1.1459360378912114e-11,1.3593465904888967e-14
0.0011576341584916658,0.7119882763243552,1.1391812421189689e-11,1.3553342747154518e-14
0.0011901179335984742,0.7080356105462285,1.1328569768739662e-11,1.3515668901698944e-14
0.0012235132191660354,0.7041353528262327,1.1266165645219728e-11,1.3478391348563518e-14
0.0012578455926193046,0.7002582761862369,1.1204132418979795e-11,1.3441232901318926e-14
0.0012931413490981682,0.6965021406581099,1.1144034250529763e-11,1.3405135385650013e-14
0.0013294275215968707,0.6927288695999828,1.108366191359973e-11,1.3368775031397021e-14
0.0013667319016685692,0.6891581673226996,1.1026530677163198e-11,1.3334275357992073e-14
0.0014050830607108603,0.685167206304573,1.0962675300873172e-11,1.3295609268137716e-14
0.0014445103718485925,0.6810381744469075,1.0896610791150524e-11,1.325548678420911e-14
0.0014850440324307235,0.6766249404187813,1.0825999046700505e-11,1.3212467977175257e-14
0.0015267150871584468,0.6720232435687861,1.0752371897100581e-11,1.3167462390907512e-14
0.0015695554518623046,0.6671353267687913,1.0674165228300664e-11,1.311948842475918e-14
0.0016135979379465018,0.6622393421130834,1.059582947380934e-11,1.3071258751515139e-14
0.001658876277519134,0.657155906223089,1.0514494499569428e-11,1.3020993481353064e-14
0.0017054251492275869,0.6519122266830945,1.0430595626929515e-11,1.2968939582517661e-14
0.0017532802048188852,0.6466826549731,1.0346922479569602e-11,1.2916816789367157e-14
